file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCzhinengkefuzhushou.tsx, fileName: IconSCzhinengkefuzhushou.tsx, size: 1789, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/messageCenter/actions/archiveShopConversation.ts, fileName: archiveShopConversation.ts, size: 1355, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCa1.tsx, fileName: IconSCa1.tsx, size: 1794, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCbiaoqing.tsx, fileName: IconSCbiaoqing.tsx, size: 1938, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconScLive.tsx, fileName: IconScLive.tsx, size: 1326, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/messageCenter/components/UserProfile/index.tsx, fileName: index.tsx, size: 11039, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/whatsapp/components/ConnectedPage/NewTemplatePage/components/WhatsappPreviewWrapper/index.tsx, fileName: index.tsx, size: 1125, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/Settings/components/KeywordAutoreplyEdit/components/CommonContent/index.tsx, fileName: index.tsx, size: 2560, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/common/hooks/useImageUpload.ts, fileName: useImageUpload.ts, size: 1547, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/messageCenter/components/UserProfile/OrderHistory/Item.module.less, fileName: Item.module.less, size: 686, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/interface/api/countries/response.ts, fileName: response.ts, size: 124, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/index.tsx, fileName: index.tsx, size: 94859, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/NotAuthorizedPage/locale/index.ts, fileName: index.ts, size: 182, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/Settings/views/AiKnowledgeBase/hooks/useAiKnowledgeBase.tsx, fileName: useAiKnowledgeBase.tsx, size: 8700, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/constant/enums.ts, fileName: enums.ts, size: 114, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/RemarketAssistant/CatalogSettings/index.tsx, fileName: index.tsx, size: 486, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/interface/api/initializeCart/response.ts, fileName: response.ts, size: 3494, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/whatsapp/index.css, fileName: index.css, size: 757, 后缀: .css



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCaIconGeneralListexpand.tsx, fileName: IconSCaIconGeneralListexpand.tsx, size: 984, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCppt.tsx, fileName: IconSCppt.tsx, size: 2493, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/Settings/components/EmptyImg/index.tsx, fileName: index.tsx, size: 5164, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/hooks/useApplicationContext.ts, fileName: useApplicationContext.ts, size: 7086, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/messageCenter/sagas/getOrderConversations.spec.ts, fileName: getOrderConversations.spec.ts, size: 4585, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconScIconSolidBudgeYellow.tsx, fileName: IconScIconSolidBudgeYellow.tsx, size: 1211, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/mobile/components/Conversation/ToolBar/MultiFilterButton/Popover.tsx, fileName: Popover.tsx, size: 3214, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/manualOrder/sagas/helper/getCountriesData.ts, fileName: getCountriesData.ts, size: 404, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/messageCenter/actions/batchReadPostConversations.ts, fileName: batchReadPostConversations.ts, size: 672, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/SLInsertableTextArea/index.less, fileName: index.less, size: 638, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/common/components/NetStatus/index.module.less, fileName: index.module.less, size: 638, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/Settings/views/KeywordAutoreply/BatchAddQuestion/resetModal.css, fileName: resetModal.css, size: 281, 后缀: .css



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/Settings/views/KeywordAutoreply/CreateAutoReply/index.tsx, fileName: index.tsx, size: 4845, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/messageCenter/helpers/reportInputStatus.ts, fileName: reportInputStatus.ts, size: 1558, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/SLTextarea/index.tsx, fileName: index.tsx, size: 4009, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/Settings/views/ChatWidget/index.module.less, fileName: index.module.less, size: 2801, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/yyAuth/actions/index.ts, fileName: index.ts, size: 118, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCaGuanjianziguanbi.tsx, fileName: IconSCaGuanjianziguanbi.tsx, size: 1878, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/mobile/components/Conversation/ConversationItem/InBoxOrInstant.module.less, fileName: InBoxOrInstant.module.less, size: 2339, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/whatsapp/components/NoPermissionPage.tsx, fileName: NoPermissionPage.tsx, size: 894, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/whatsappContacts/components/MultiTagsRender/index.module.less, fileName: index.module.less, size: 1197, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/whatsappContacts/components/OptinStatus/index.tsx, fileName: index.tsx, size: 2752, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/shopper/service/index.ts, fileName: index.ts, size: 2828, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/whatsapp/components/RegionSelect/index.tsx, fileName: index.tsx, size: 5473, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/userProfile/sagas/remark/deleteRemark.ts, fileName: deleteRemark.ts, size: 1156, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconScPrintLinealCheck.tsx, fileName: IconScPrintLinealCheck.tsx, size: 2830, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/savedReply/actions/upsertSavedReply.ts, fileName: upsertSavedReply.ts, size: 953, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/Settings/views/CreateAuthTemp/components/PlainTextCom/index.module.less, fileName: index.module.less, size: 426, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/postsComment/components/FBPostsInfo.tsx, fileName: FBPostsInfo.tsx, size: 2236, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/.env.development.local, fileName: .env.development.local, size: 10633, 后缀: .local



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/conversation/sagas/inbox/helper.ts, fileName: helper.ts, size: 932, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCaKehutianman.tsx, fileName: IconSCaKehutianman.tsx, size: 992, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCbiaoqian.tsx, fileName: IconSCbiaoqian.tsx, size: 1335, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconScai2.tsx, fileName: IconScai2.tsx, size: 2640, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/constant/swrMutateKeyEnum.ts, fileName: swrMutateKeyEnum.ts, size: 483, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/Broadcast/views/BroadcastIndex/components/EmptyTemplate/index.module.less, fileName: index.module.less, size: 471, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/interface/service/i18n.ts, fileName: i18n.ts, size: 808, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/messageCenter/sagas/getOrderConversations.ts, fileName: getOrderConversations.ts, size: 4699, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/messageCenter/components/TextArea.tsx, fileName: TextArea.tsx, size: 220, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/messageCenter/helpers/getNumberOfMessageV2.ts, fileName: getNumberOfMessageV2.ts, size: 339, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/messageCenter/views/MOAIToolBox/components/AiChatroom/index.tsx, fileName: index.tsx, size: 2221, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/interface/service/rootScopeService.ts, fileName: rootScopeService.ts, size: 199, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/mobile/components/Conversation/ToolBar/InboxMultiFilter/hooks/useFilterOptions.tsx, fileName: useFilterOptions.tsx, size: 8601, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/mobile/components/UserProfile/Tags/index.tsx, fileName: index.tsx, size: 3088, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCdelivery.tsx, fileName: IconSCdelivery.tsx, size: 1787, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/service/adminBff/client.ts, fileName: client.ts, size: 2460, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/utils/reportCommonError.ts, fileName: reportCommonError.ts, size: 547, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/Settings/views/ChatWidget/images/brand_inbox.png, fileName: brand_inbox.png, size: 4208, 后缀: .png



file: /Users/bird/company/sc1.0/mc/message-center/client/src/static/no-permission.svg, fileName: no-permission.svg, size: 4187, 后缀: .svg



file: /Users/bird/company/sc1.0/mc/message-center/client/.stylelintrc.json, fileName: .stylelintrc.json, size: 87, 后缀: .json



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/messageCenter/sagas/getShopConversations.spec.ts, fileName: getShopConversations.spec.ts, size: 4988, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCguanggao.tsx, fileName: IconSCguanggao.tsx, size: 2861, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCliebiao.tsx, fileName: IconSCliebiao.tsx, size: 1551, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCxiaolian.tsx, fileName: IconSCxiaolian.tsx, size: 1952, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/NotAuthorizedPage/index.tsx, fileName: index.tsx, size: 1593, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/messageCenter/views/MOAIToolBox/components/Tabs/index.tsx, fileName: index.tsx, size: 1178, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/interface/api/postsComment/posts/request.ts, fileName: request.ts, size: 533, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/whatsapp/components/StartPage.module.less, fileName: StartPage.module.less, size: 1876, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCsound.tsx, fileName: IconSCsound.tsx, size: 1726, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/SLAvatar/index.tsx, fileName: index.tsx, size: 1316, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/Broadcast/views/BroadcastEditor/components/BroadcastContextForm/index.module.less, fileName: index.module.less, size: 818, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/service/whatsapp/applyTemplate.ts, fileName: applyTemplate.ts, size: 684, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/interface/store/conversation/state.ts, fileName: state.ts, size: 554, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/messageCenter/actions/createMessage.ts, fileName: createMessage.ts, size: 2479, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCgongzuoshijian.tsx, fileName: IconSCgongzuoshijian.tsx, size: 1458, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/whatsapp/components/AnalysisItem/index.tsx, fileName: index.tsx, size: 3731, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/conversation/actions/inbox.ts, fileName: inbox.ts, size: 3744, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/SLInsertableTextArea/SLInsertableEditor/utils/index.tsx, fileName: index.tsx, size: 1480, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/shopper/components/ProductItem/index.tsx, fileName: index.tsx, size: 5711, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/whatsapp/components/ConnectedPage/NewTemplatePage/components/WhatsappPreviewWrapper/index.module.less, fileName: index.module.less, size: 72, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/manualOrder/sagas/addDiscountCartItem.ts, fileName: addDiscountCartItem.ts, size: 2787, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCorder.tsx, fileName: IconSCorder.tsx, size: 1430, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconScSetting1.tsx, fileName: IconScSetting1.tsx, size: 4679, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/yalc.lock, fileName: yalc.lock, size: 330, 后缀: .lock



file: /Users/bird/company/sc1.0/mc/message-center/client/shopper.html, fileName: shopper.html, size: 3099, 后缀: .html



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCtuichu.tsx, fileName: IconSCtuichu.tsx, size: 1616, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/Broadcast/views/BroadcastEditor/components/CustomGroupModal/components/searchEmpty.tsx, fileName: searchEmpty.tsx, size: 825, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/Settings/views/KeywordAutoreply/BatchAddQuestion/index.tsx, fileName: index.tsx, size: 8261, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/messageCenter/components/UserProfile/Tags/index.tsx, fileName: index.tsx, size: 8026, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/messageCenter/locale/index.ts, fileName: index.ts, size: 238, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/messageCenter/sagas/updatePaymentProofStatus.ts, fileName: updatePaymentProofStatus.ts, size: 2251, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/Broadcast/views/BroadcastIndex/components/PopverTip/index.module.less, fileName: index.module.less, size: 637, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/mobile/components/DateLabel/locale/shopline-locale-en.ts, fileName: shopline-locale-en.ts, size: 1172, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/service/i18n/index.ts, fileName: index.ts, size: 2116, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/Broadcast/views/BroadcastEditor/components/TagList/index.module.less, fileName: index.module.less, size: 549, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/messageCenter/components/UserProfile/Remark/EditButtonArea.tsx, fileName: EditButtonArea.tsx, size: 1592, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/interface/api/manualOrder/detail/response.ts, fileName: response.ts, size: 3918, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/shopper/components/ShopCart/index.module.less, fileName: index.module.less, size: 1174, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/whatsapp/components/ConnectedPage/TemplatePageItem.module.less, fileName: TemplatePageItem.module.less, size: 2209, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/messageCenter/actions/getCurrentConversation.ts, fileName: getCurrentConversation.ts, size: 491, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/messageCenter/sagas/helpers/updateMessageSendStatus.ts, fileName: updateMessageSendStatus.ts, size: 582, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/NotifyAssistant/OrderStatusNotice/index.tsx, fileName: index.tsx, size: 9763, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/Settings/views/UnpaidMessage/components/SortModal/index.module.less, fileName: index.module.less, size: 115, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/messageCenter/sagas/helpers/getUniqMessageActingSenderIds.ts, fileName: getUniqMessageActingSenderIds.ts, size: 2652, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/userProfile/sagas/tags/index.ts, fileName: index.ts, size: 228, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCdakai.tsx, fileName: IconSCdakai.tsx, size: 1099, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/SmartAssistant/Assignment/index.tsx, fileName: index.tsx, size: 459, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/mobile/components/Conversation/ToolBar/MultiFilterButton/Popover.module.less, fileName: Popover.module.less, size: 552, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/CopyPhoneToClipboard/index.module.less, fileName: index.module.less, size: 401, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCchannelLine.tsx, fileName: IconSCchannelLine.tsx, size: 2505, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCpayment.tsx, fileName: IconSCpayment.tsx, size: 1449, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Tooltip/index.tsx, fileName: index.tsx, size: 444, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/SmartAssistant/AiChatAnalysis/components/AvatarIcon/index.tsx, fileName: index.tsx, size: 773, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/messageCenter/components/SCChatroomContainer/index.tsx, fileName: index.tsx, size: 2532, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/messageCenter/style.css, fileName: style.css, size: 413, 后缀: .css



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/manualOrder/actions/updateCartItem.ts, fileName: updateCartItem.ts, size: 1556, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/settings/sagas/putWorkingHours.ts, fileName: putWorkingHours.ts, size: 1051, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/interface/store/settings/state.ts, fileName: state.ts, size: 1481, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/whatsapp/pages/CreateTemplate/components/CardContainer/index.tsx, fileName: index.tsx, size: 1049, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/manualOrder/sagas/setPayment.ts, fileName: setPayment.ts, size: 1894, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/messageCenter/sagas/refreshOrderConversation.ts, fileName: refreshOrderConversation.ts, size: 2465, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/postsComment/sagas/comments/addComment.ts, fileName: addComment.ts, size: 3803, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCkulian.tsx, fileName: IconSCkulian.tsx, size: 1968, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/Settings/hooks/useKeywordAutoreply.ts, fileName: useKeywordAutoreply.ts, size: 4259, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/Settings/views/SmartReplay/index.tsx, fileName: index.tsx, size: 7204, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/messageCenter/sagas/createOrderMessage.spec.ts, fileName: createOrderMessage.spec.ts, size: 4371, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCgoumaiyixiang.tsx, fileName: IconSCgoumaiyixiang.tsx, size: 2585, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/manualOrder/index.module.less, fileName: index.module.less, size: 657, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/messageCenter/hooks/useDeleteTagNotification.tsx, fileName: useDeleteTagNotification.tsx, size: 3086, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/shopper/components/ShopCartItem/index.module.less, fileName: index.module.less, size: 880, 后缀: .less



file: /Users/bird/company/sc1.0/mc/message-center/client/src/whatsapp/components/ConnectedPage/TemplatePageItem.tsx, fileName: TemplatePageItem.tsx, size: 5176, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCguke.tsx, fileName: IconSCguke.tsx, size: 1380, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCzidongtianjiabiaoqian.tsx, fileName: IconSCzidongtianjiabiaoqian.tsx, size: 1920, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/hooks/useGoToAllPage.ts, fileName: useGoToAllPage.ts, size: 1618, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/utils/apiProxy/index.ts, fileName: index.ts, size: 2821, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/feature/postsComment/components/FBCommentItem.tsx, fileName: FBCommentItem.tsx, size: 1471, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/scripts/download.mjs, fileName: download.mjs, size: 2338, 后缀: .mjs



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/manualOrder/actions/index.ts, fileName: index.ts, size: 3088, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/postsComment/actions/comments/deleteComment.ts, fileName: deleteComment.ts, size: 958, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/WindowMessageProvider/index.tsx, fileName: index.tsx, size: 620, 后缀: .tsx



file: /Users/bird/company/sc1.0/mc/message-center/client/src/utils/cartProduct.ts, fileName: cartProduct.ts, size: 755, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/application/store/messageCenter/actions/getConversations.ts, fileName: getConversations.ts, size: 516, 后缀: .ts



file: /Users/bird/company/sc1.0/mc/message-center/client/src/components/Icons/IconSCword.tsx, fileName: IconSCword.tsx, size: 2178, 后缀: .tsx



